"","vendors","id","price","size","cost_per_size"
"5627","No Frills",94937,4.97,776.01,0.01
"5628","T&T",2446,46.25,907.03,0.05
"5629","Walmart",51473,26.71,914.95,0.03
"5630","Loblaws",866,44.29,820.48,0.05
"5631","Walmart",65000,38.64,251.46,0.15
"5632","Walmart",92251,32.87,671.52,0.05
"5633","Galleria",7654,12.66,166.93,0.08
"5634","Voila",67800,24.19,672.64,0.04
"5635","Loblaws",57246,32.76,109.36,0.3
"5636","Galleria",25526,43.74,323.94,0.14
"5637","T&T",23516,10.59,434.03,0.02
"5638","Metro",82681,20.48,242.39,0.08
"5639","Loblaws",76776,33.37,71.8,0.46
"5640","Voila",33966,7.1,622.12,0.01
"5641","T&T",43771,11.21,963.53,0.01
"5642","Voila",1662,33.39,349.85,0.1
"5643","T&T",8728,15.87,267.69,0.06
"5644","Metro",74443,30.45,490.39,0.06
"5645","T&T",9805,1.58,940.1,0
"5646","Galleria",23138,39.28,990.4,0.04
"5647","Loblaws",63670,13.56,392.75,0.03
"5648","Walmart",73718,18.36,161.23,0.11
"5649","No Frills",92322,32.86,172.13,0.19
"5650","Save-On-Foods",76149,1.36,26.33,0.05
"5651","Loblaws",4739,18.58,869.68,0.02
"5652","Loblaws",5227,48.43,199.21,0.24
"5653","Loblaws",60982,25.74,17.7,1.45
"5654","No Frills",13828,35.21,672.49,0.05
"5655","No Frills",49484,8.69,71.93,0.12
"5656","Walmart",32148,24.77,251.25,0.1
"5657","Galleria",46084,25.6,70.02,0.37
"5658","No Frills",56914,17.2,81.88,0.21
"5659","No Frills",53298,0.22,777.46,0
"5660","Loblaws",51683,40.77,291.23,0.14
"5661","Save-On-Foods",80523,42.56,592.14,0.07
"5662","T&T",75601,22.96,614.2,0.04
"5663","Walmart",79553,27.43,439.09,0.06
"5664","T&T",18982,29.17,819.72,0.04
"5665","No Frills",85806,22.88,891.71,0.03
"5666","T&T",54705,35.29,391.7,0.09
"5667","No Frills",70650,4.78,50.41,0.09
"5668","Walmart",74610,44.8,648.86,0.07
"5669","Voila",27439,47.72,626.81,0.08
"5670","Walmart",84393,38.62,908.32,0.04
"5671","Voila",83053,26.37,906.74,0.03
"5672","Loblaws",1953,46.75,110.53,0.42
"5673","Loblaws",50526,27.05,952.3,0.03
"5674","Metro",88997,30.81,813.13,0.04
"5675","Metro",50298,16.34,174.34,0.09
"5676","T&T",85901,8.77,304.94,0.03
"5677","Loblaws",69831,41.78,242.43,0.17
"5678","Walmart",63859,30.86,34.42,0.9
"5679","Galleria",5543,8.27,158.14,0.05
"5680","Loblaws",65262,35.83,82.35,0.44
"5681","Voila",11601,22.47,412.02,0.05
"5682","No Frills",69066,24.61,93.28,0.26
"5683","No Frills",18526,17.77,592.58,0.03
"5684","Galleria",17129,3.81,882.5,0
"5685","Metro",28859,23.33,528.1,0.04
"5686","Walmart",53476,42.56,716.36,0.06
"5687","Metro",87367,41.38,595.51,0.07
"5688","Loblaws",43339,22.13,497,0.04
"5689","No Frills",49906,45.87,45.14,1.02
"5690","No Frills",61526,10.26,835.14,0.01
"5691","Voila",5737,41.62,297.08,0.14
"5692","Loblaws",90246,2.79,428.94,0.01
"5693","No Frills",84797,32.28,861.81,0.04
"5694","Save-On-Foods",70080,26.88,588.35,0.05
"5695","Galleria",99634,46,838.1,0.05
"5696","T&T",19746,30.47,421.12,0.07
"5697","No Frills",98250,32.71,251.7,0.13
"5698","Galleria",39578,14.49,863.49,0.02
"5699","Loblaws",5504,30.63,222.71,0.14
"5700","Loblaws",77525,0.68,493.12,0
"5701","T&T",35433,46.84,86.36,0.54
"5702","No Frills",23872,26.85,989.98,0.03
"5703","Galleria",60144,48.1,917.66,0.05
"5704","Voila",41048,18.87,705.07,0.03
"5705","Walmart",47515,34.75,528.66,0.07
"5706","Save-On-Foods",42711,24.48,615.31,0.04
"5707","Save-On-Foods",19804,34.87,166.95,0.21
"5708","Save-On-Foods",77233,25.92,902.1,0.03
"5709","Galleria",81882,33.9,986.44,0.03
"5710","Walmart",96774,10.22,324.5,0.03
"5711","T&T",74719,45.4,639.11,0.07
"5712","Loblaws",45549,12.18,305.89,0.04
"5713","Galleria",36623,37.89,135.25,0.28
"5714","Galleria",69768,49.58,514.49,0.1
"5715","Loblaws",76226,41.44,212.33,0.2
"5716","Galleria",69732,22.26,931.46,0.02
"5717","Walmart",7607,43.18,249.86,0.17
"5718","Loblaws",15846,16.9,736.05,0.02
"5719","Galleria",62609,3.97,497.92,0.01
"5720","Loblaws",36407,21.67,866.26,0.03
"5721","Loblaws",48268,4.23,54.78,0.08
"5722","Save-On-Foods",91613,31.29,447.62,0.07
"5723","T&T",67409,33.98,581.21,0.06
"5724","T&T",61810,11.48,709.19,0.02
"5725","Metro",52981,28.08,428.59,0.07
"5726","No Frills",7684,34.03,884.66,0.04
"5727","No Frills",91233,23.96,356.71,0.07
"5728","Loblaws",19312,49.29,770.33,0.06
"5729","T&T",40225,35.01,843,0.04
"5730","Walmart",93566,47.89,504.28,0.09
"5731","Metro",63801,6.55,637.53,0.01
"5732","Metro",83862,44.11,998.49,0.04
"5733","Voila",10641,48.39,217.59,0.22
"5734","Save-On-Foods",97139,43.55,189.28,0.23
"5735","Loblaws",33554,0.52,876.18,0
"5736","T&T",38404,28.28,206.65,0.14
"5737","No Frills",18687,21.85,962.66,0.02
"5738","Voila",569,39,554.93,0.07
"5739","Walmart",2290,49.38,607.81,0.08
"5740","Loblaws",42676,37.02,182.4,0.2
"5741","Voila",57720,42.38,276.04,0.15
"5742","No Frills",18495,7.6,182.9,0.04
"5743","Metro",78995,27.51,167.4,0.16
"5744","Loblaws",3927,2.67,884.71,0
"5745","T&T",2748,41.45,28.13,1.47
"5746","Galleria",53875,16.54,809.62,0.02
"5747","Galleria",29546,17.56,5.57,3.15
"5748","T&T",54299,12.09,215.98,0.06
"5749","No Frills",87226,41.71,830.39,0.05
"5750","Galleria",86813,5.36,268.62,0.02
"5751","Save-On-Foods",32362,43.34,720.19,0.06
"5752","Loblaws",8972,48.88,130.69,0.37
"5753","Walmart",67166,31.22,329.35,0.09
"5754","Walmart",67325,43.87,298.68,0.15
"5755","Loblaws",90412,43.38,110.66,0.39
"5756","No Frills",2499,15.06,147.37,0.1
"5757","Loblaws",83057,19.49,510.29,0.04
"5758","Galleria",91510,0.84,233.77,0
"5759","Save-On-Foods",24284,11.79,977.16,0.01
"5760","Walmart",38340,45.78,797.87,0.06
"5761","Loblaws",75087,11.32,42.48,0.27
"5762","No Frills",58820,29.19,198.7,0.15
"5763","Galleria",6704,4.03,950.81,0
"5764","Loblaws",608,41.71,17.2,2.43
"5765","Loblaws",46252,19.91,621.38,0.03
"5766","Galleria",95593,21.53,335.19,0.06
"5767","Galleria",57314,28.43,864.97,0.03
"5768","No Frills",55761,4.59,159.95,0.03
"5769","T&T",39883,25.19,746.16,0.03
"5770","Walmart",74352,45.32,183.53,0.25
"5771","Voila",42250,28.4,268.57,0.11
"5772","Save-On-Foods",88859,1.5,586.79,0
"5773","T&T",85672,34.94,188.89,0.18
"5774","No Frills",72106,28.08,448.56,0.06
"5775","Walmart",22304,33.23,123.17,0.27
"5776","T&T",74212,7.13,42.92,0.17
"5777","Metro",98780,15.66,748.8,0.02
"5778","Walmart",95751,13.88,74.79,0.19
"5779","Voila",62924,30.73,905.04,0.03
"5780","T&T",31097,22.24,585.48,0.04
"5781","T&T",18105,37.43,821.68,0.05
"5782","Walmart",840,17.42,947.11,0.02
"5783","Galleria",60124,47.78,755.22,0.06
"5784","T&T",95776,9.25,63.8,0.14
"5785","Metro",25182,25.76,679.91,0.04
"5786","Save-On-Foods",22685,31.09,700.2,0.04
"5787","No Frills",3745,41.14,72.57,0.57
"5788","Save-On-Foods",39308,27.41,298.41,0.09
"5789","Loblaws",97729,15.92,238.62,0.07
"5790","Galleria",87064,4.27,520.39,0.01
"5791","Loblaws",64279,22.17,740.82,0.03
"5792","T&T",19519,21.7,437.68,0.05
"5793","Save-On-Foods",28092,42.81,420.43,0.1
"5794","Walmart",7953,6.25,820.06,0.01
"5795","Walmart",44987,6.52,801.4,0.01
"5796","T&T",98454,2.07,287.81,0.01
"5797","Loblaws",20168,13.61,908.61,0.01
"5798","Loblaws",47178,27.01,324.5,0.08
"5799","No Frills",8648,16.96,165.79,0.1
"5800","Voila",64713,2.92,730.37,0
"5801","Galleria",32283,6.13,621.97,0.01
"5802","No Frills",71269,40.09,633.95,0.06
"5803","Walmart",36331,0.04,315.35,0
"5804","Save-On-Foods",38771,18.62,470.13,0.04
"5805","T&T",86595,22.34,984.44,0.02
"5806","T&T",26470,10.88,274.65,0.04
"5807","Galleria",60246,20.16,49.21,0.41
"5808","Galleria",40137,25.24,16.96,1.49
"5809","No Frills",66139,48.02,76.67,0.63
"5810","Walmart",76200,26.94,824.19,0.03
"5811","Save-On-Foods",85078,2.78,109.5,0.03
"5812","Loblaws",99660,34.44,620.88,0.06
"5813","Save-On-Foods",82227,27.41,433.71,0.06
"5814","T&T",29928,38.55,245.83,0.16
"5815","Loblaws",26680,5.64,250.55,0.02
"5816","T&T",80205,30.29,729.51,0.04
"5817","Metro",7622,46.93,272.91,0.17
"5818","Galleria",28700,17.52,475.8,0.04
"5819","Galleria",58173,8.38,627,0.01
"5820","T&T",83883,33.86,755.05,0.04
"5821","Loblaws",14800,5.07,321.74,0.02
"5822","Galleria",9385,23.45,89.31,0.26
"5823","Voila",63532,6.07,248.47,0.02
"5824","Galleria",25081,22.96,283.94,0.08
"5825","T&T",53657,29.16,261,0.11
"5826","T&T",82587,45.7,791.46,0.06
"5827","Loblaws",43824,45.73,952.78,0.05
"5828","Loblaws",37712,2.07,719.27,0
"5829","Walmart",79291,28.72,281.98,0.1
"5830","Loblaws",42130,5.11,879.84,0.01
"5831","Walmart",35132,37.95,779.82,0.05
"5832","Loblaws",2757,40.19,348.34,0.12
"5833","Galleria",23332,41.72,897.31,0.05
"5834","Save-On-Foods",33508,29.54,729.47,0.04
"5835","Walmart",33885,26.66,167.27,0.16
"5836","Loblaws",8504,16.06,857.52,0.02
"5837","Save-On-Foods",41427,41.41,451.71,0.09
"5838","Save-On-Foods",63038,24.7,219.17,0.11
"5839","Loblaws",2646,30.44,957.84,0.03
"5840","Galleria",90625,33.03,49.07,0.67
"5841","T&T",87625,3.87,459.81,0.01
"5842","Save-On-Foods",22325,30.6,589.57,0.05
"5843","Metro",53928,35.85,900.92,0.04
"5844","T&T",74107,24.15,4.98,4.85
"5845","No Frills",5773,22.55,369.63,0.06
"5846","T&T",39646,0.2,708.23,0
"5847","Metro",71016,44.65,421.08,0.11
"5848","Voila",67,31.27,460.84,0.07
"5849","Voila",99560,10.45,153.94,0.07
"5850","Voila",8946,35.85,144.52,0.25
"5851","Loblaws",44544,3.57,145.25,0.02
"5852","Galleria",42337,11.74,41.33,0.28
"5853","T&T",79429,3.22,56.68,0.06
"5854","Loblaws",46504,14.18,661.76,0.02
"5855","Galleria",42442,6.35,186.08,0.03
"5856","Galleria",14430,28.52,413.95,0.07
"5857","Galleria",98687,22.86,179.81,0.13
"5858","Galleria",89853,26.84,433.43,0.06
"5859","Loblaws",84195,18.99,12.18,1.56
"5860","Metro",4742,13.09,58.94,0.22
"5861","Save-On-Foods",30349,46.57,915.93,0.05
"5862","Save-On-Foods",53823,46.23,935.43,0.05
"5863","Metro",25846,5.82,987.06,0.01
"5864","Loblaws",42062,18.69,273.63,0.07
"5865","Galleria",19443,43.72,315.76,0.14
"5866","Save-On-Foods",99712,7.67,190.67,0.04
"5867","Loblaws",37215,38.07,804.96,0.05
"5868","Save-On-Foods",92882,26.6,273.88,0.1
"5869","Loblaws",91790,21.85,132.82,0.16
"5870","Loblaws",50818,13.99,494.5,0.03
"5871","Save-On-Foods",10932,48.65,948.93,0.05
"5872","No Frills",18344,34.09,500.8,0.07
"5873","Walmart",47061,39.18,811.78,0.05
"5874","Voila",79437,3.3,842.28,0
"5875","Walmart",69000,13.69,133.64,0.1
"5876","Metro",41660,14.71,13.1,1.12
"5877","Voila",31386,6.22,17.62,0.35
"5878","Save-On-Foods",43330,14.94,889.39,0.02
"5879","Loblaws",70708,22.49,3.07,7.33
"5880","Walmart",4963,33.05,825.9,0.04
"5881","Loblaws",61571,11.76,722.46,0.02
"5882","No Frills",82751,22.37,68.41,0.33
"5883","Voila",26635,41.35,11.41,3.62
"5884","Loblaws",69254,12.2,195.15,0.06
"5885","Loblaws",21547,27.36,731.46,0.04
"5886","Voila",69833,24.28,451.91,0.05
"5887","T&T",54152,38.16,643.24,0.06
"5888","Galleria",42513,1.24,281.94,0
"5889","Galleria",30914,41.38,613.76,0.07
"5890","Metro",68335,38.69,699.15,0.06
"5891","Voila",51248,27.94,421.23,0.07
"5892","Metro",94419,25.24,40.75,0.62
"5893","No Frills",20683,14.46,778.18,0.02
"5894","Galleria",56375,6.41,892.13,0.01
"5895","Loblaws",36462,14.21,677.7,0.02
"5896","Loblaws",76862,40.68,735.19,0.06
"5897","Voila",52718,31.23,927.86,0.03
"5898","T&T",97727,32.84,576.67,0.06
"5899","Loblaws",38873,31.75,937.96,0.03
"5900","Metro",41276,23.86,188.92,0.13
"5901","Loblaws",16369,10.52,366.51,0.03
"5902","Loblaws",20681,43.07,303.11,0.14
"5903","Metro",80002,13.16,329.28,0.04
"5904","Galleria",42281,35.03,761.23,0.05
"5905","Voila",45140,3.36,195.17,0.02
"5906","Voila",70945,36.66,446.96,0.08
"5907","Walmart",73547,10.52,59.11,0.18
"5908","Loblaws",54025,45.48,336.54,0.14
"5909","T&T",48739,38.27,762.3,0.05
"5910","Walmart",23414,9.23,687.04,0.01
"5911","Galleria",53900,11.29,742.3,0.02
"5912","Loblaws",63276,46.73,825.98,0.06
"5913","Walmart",8591,19.6,910.22,0.02
"5914","Save-On-Foods",84610,31.35,302.72,0.1
"5915","Galleria",92580,28.79,396.73,0.07
"5916","Voila",81215,30.19,56.12,0.54
"5917","Galleria",9081,3.81,568.86,0.01
"5918","Save-On-Foods",76588,38.67,404.4,0.1
"5919","T&T",17181,12.66,139.67,0.09
"5920","Metro",95508,6.34,27.7,0.23
"5921","Galleria",27202,2.05,56.89,0.04
"5922","Save-On-Foods",13332,32.61,370.49,0.09
"5923","Walmart",19048,38.7,927.01,0.04
"5924","Loblaws",88065,16.4,746.42,0.02
"5925","Save-On-Foods",22257,17.69,743.6,0.02
"5926","Voila",76630,35.66,155.71,0.23
"5927","Loblaws",93688,35.42,989.73,0.04
"5928","Loblaws",52284,6.91,133.35,0.05
"5929","Voila",95688,13.43,880.8,0.02
"5930","No Frills",30096,21.19,247.64,0.09
"5931","Loblaws",74894,38.62,39.25,0.98
"5932","Galleria",14756,43.9,639.52,0.07
"5933","Loblaws",36701,4.27,701.89,0.01
"5934","Galleria",42331,0.17,463.95,0
"5935","Walmart",55671,12.3,108.12,0.11
"5936","No Frills",87394,36.26,86.44,0.42
"5937","Metro",13885,39.66,260.43,0.15
"5938","Voila",78605,44.97,351.24,0.13
"5939","Loblaws",29382,35.53,971.18,0.04
"5940","Loblaws",54034,8.29,89.18,0.09
"5941","T&T",76980,9.47,688.27,0.01
"5942","Loblaws",14187,14.78,723.35,0.02
"5943","Voila",80029,9,937.28,0.01
"5944","Metro",31496,15.35,754.22,0.02
"5945","Galleria",75511,24.84,96.41,0.26
"5946","Galleria",31760,28.08,160.17,0.18
"5947","Save-On-Foods",79423,9.84,946.66,0.01
"5948","Loblaws",44772,34.04,360.21,0.09
"5949","T&T",49628,5.13,453.38,0.01
"5950","Galleria",37443,6.17,576.97,0.01
"5951","Walmart",24007,16.78,13.25,1.27
"5952","Loblaws",79483,45.59,730.24,0.06
"5953","Voila",50645,32.9,600.07,0.05
"5954","Galleria",48746,23.21,390.39,0.06
"5955","Loblaws",52273,29.41,214.77,0.14
"5956","Loblaws",22005,18.84,929.63,0.02
"5957","No Frills",39519,20.45,902.04,0.02
"5958","Metro",37655,14.52,197.2,0.07
"5959","Save-On-Foods",5894,34.33,232.1,0.15
"5960","Loblaws",44153,19.23,508.6,0.04
"5961","Loblaws",26388,7.98,31.69,0.25
"5962","Voila",49342,18.49,598.76,0.03
"5963","T&T",55669,17.46,244.43,0.07
"5964","Galleria",63233,37.42,579.87,0.06
"5965","Galleria",84980,1.41,314.45,0
"5966","Loblaws",90993,46.13,40.86,1.13
"5967","T&T",28920,37.84,64.58,0.59
"5968","Loblaws",21185,3.31,853.97,0
"5969","Loblaws",86388,30.58,462.85,0.07
"5970","Voila",98890,0.39,791.94,0
"5971","Voila",6045,18.4,729.09,0.03
"5972","Metro",44178,2.21,109.27,0.02
"5973","No Frills",48898,16.94,998.94,0.02
"5974","Loblaws",87107,1.02,755.1,0
"5975","Metro",8082,6.27,70.01,0.09
"5976","T&T",86950,15.08,638.55,0.02
"5977","T&T",27489,21.72,691.26,0.03
"5978","Voila",18661,45.58,32.71,1.39
"5979","Metro",65016,11.37,556.66,0.02
"5980","Metro",29136,37.63,199.46,0.19
"5981","Loblaws",54855,0.27,791.53,0
"5982","Metro",3387,18.1,799.34,0.02
"5983","Loblaws",39217,9.38,737.7,0.01
"5984","Voila",12000,5.62,965.67,0.01
"5985","Metro",1748,5.49,787.69,0.01
"5986","Loblaws",70302,25.71,219.31,0.12
"5987","Loblaws",44550,49.92,466.97,0.11
"5988","Loblaws",77080,38.41,885.73,0.04
"5989","Loblaws",87780,9.29,862.17,0.01
"5990","Loblaws",36020,24.18,545,0.04
"5991","Save-On-Foods",74862,41.71,669.01,0.06
"5992","Save-On-Foods",56404,12.17,592.24,0.02
"5993","Metro",36207,37.04,370.92,0.1
"5994","Voila",92444,49.58,302.75,0.16
"5995","Metro",69904,10.86,107.22,0.1
"5996","T&T",54559,5.67,604.61,0.01
"5997","Metro",60856,17.27,501.95,0.03
"5998","Loblaws",20736,16.09,242.71,0.07
"5999","Galleria",4297,15.85,633.51,0.03
"6000","Voila",27698,9.97,739.94,0.01
"6001","Galleria",15182,22.79,573.18,0.04
"6002","Loblaws",27846,43.51,232.41,0.19
"6003","Loblaws",8664,23.67,584.13,0.04
"6004","Voila",87045,46.38,620.62,0.07
"6005","Galleria",63650,16.88,795.97,0.02
"6006","T&T",43912,27.39,833.33,0.03
"6007","Metro",53059,5.24,848.71,0.01
"6008","Metro",59999,24.85,979.93,0.03
"6009","Galleria",1505,7.22,76.48,0.09
"6010","Walmart",1080,19.83,163.72,0.12
"6011","Voila",82270,27.57,587.19,0.05
"6012","T&T",16570,7.94,832.45,0.01
"6013","Metro",27025,31.46,584.68,0.05
"6014","No Frills",70275,13.77,546.81,0.03
"6015","Voila",4133,16.87,480.33,0.04
"6016","No Frills",68390,36.77,998.3,0.04
"6017","T&T",9979,38.89,521.38,0.07
"6018","Save-On-Foods",39188,30.71,254.45,0.12
"6019","Walmart",35111,37.34,625.28,0.06
"6020","Voila",59275,21.64,404.35,0.05
"6021","Galleria",82277,32.3,880.58,0.04
"6022","Galleria",87535,8.16,596.31,0.01
"6023","Galleria",98596,34.84,977.1,0.04
"6024","Voila",48950,47.44,871.61,0.05
"6025","Voila",9373,25.12,765.82,0.03
"6026","Voila",40316,30.99,229.1,0.14
"6027","T&T",15305,4.14,133.67,0.03
"6028","Walmart",39011,35.14,953.56,0.04
"6029","Galleria",46911,15.11,319.93,0.05
"6030","No Frills",96206,2.8,117.06,0.02
"6031","Metro",45648,11.99,782.21,0.02
"6032","Voila",10604,6.27,215.44,0.03
"6033","No Frills",50557,40.03,630.79,0.06
"6034","Voila",64652,46.66,467.67,0.1
"6035","Galleria",30877,21.39,129.14,0.17
"6036","Metro",59905,28.91,818.77,0.04
"6037","No Frills",5851,20.71,846.28,0.02
"6038","Save-On-Foods",70263,16.25,850.09,0.02
"6039","Save-On-Foods",85090,20.31,341.4,0.06
"6040","Metro",33136,24.32,404.73,0.06
"6041","Walmart",87109,14.8,93.42,0.16
"6042","Save-On-Foods",61690,26.42,812.71,0.03
"6043","Galleria",90426,4.18,514.21,0.01
"6044","Voila",6422,1.64,634.65,0
"6045","T&T",97736,37.71,13.22,2.85
"6046","Galleria",91507,15,784.07,0.02
"6047","Galleria",61353,14.93,531.31,0.03
"6048","Galleria",75396,19.48,847.99,0.02
"6049","No Frills",18640,36.11,499.74,0.07
"6050","Galleria",55077,27.74,614.5,0.05
"6051","Save-On-Foods",14329,49.01,836.34,0.06
"6052","No Frills",87487,30.52,994.88,0.03
"6053","Metro",51846,24.38,502.04,0.05
"6054","Walmart",6389,46.82,889.99,0.05
"6055","T&T",75658,8.51,764,0.01
"6056","Loblaws",57104,7.06,475.14,0.01
"6057","Save-On-Foods",70696,42.99,579.61,0.07
"6058","Loblaws",21835,3.52,296.92,0.01
"6059","Loblaws",12277,19.73,674.87,0.03
"6060","Galleria",96569,5.95,448.38,0.01
"6061","Walmart",83622,40.43,186.16,0.22
"6062","Save-On-Foods",73356,46.07,675.96,0.07
"6063","Save-On-Foods",52081,33.32,429.02,0.08
"6064","T&T",67685,45.76,340.1,0.13
"6065","Galleria",73720,11.93,321.91,0.04
"6066","Save-On-Foods",1185,40.46,618.4,0.07
"6067","Save-On-Foods",76745,22,389.11,0.06
"6068","Loblaws",10506,39.08,164.19,0.24
"6069","Loblaws",86254,35.52,780.61,0.05
"6070","Save-On-Foods",20563,27.7,418.45,0.07
"6071","Galleria",81784,16.51,925.97,0.02
"6072","Galleria",99817,44.12,283.81,0.16
"6073","Loblaws",27295,32.03,239.69,0.13
"6074","T&T",75906,11.18,494.07,0.02
"6075","Galleria",41926,9.98,261.02,0.04
"6076","Walmart",62233,23.76,165.1,0.14
"6077","Walmart",66182,9.71,978.82,0.01
"6078","Save-On-Foods",8914,48.57,743.62,0.07
"6079","Metro",19787,16.27,546.1,0.03
"6080","Galleria",97316,14.68,644.2,0.02
"6081","Save-On-Foods",49746,37.2,497.79,0.07
"6082","No Frills",96366,40.47,930.63,0.04
"6083","Loblaws",52835,31.52,819.84,0.04
"6084","Galleria",1829,6.92,658.31,0.01
"6085","Voila",35023,26.62,441.53,0.06
"6086","Save-On-Foods",81119,5.95,360.8,0.02
"6087","Voila",50532,14.11,738.9,0.02
"6088","Walmart",71861,17.35,184.06,0.09
"6089","T&T",86461,5.63,934.06,0.01
"6090","Galleria",32773,1.46,25.19,0.06
"6091","Galleria",3534,21.01,640.09,0.03
"6092","Save-On-Foods",75716,19.01,805.6,0.02
"6093","Metro",36332,47.19,16.77,2.81
"6094","T&T",92437,45.99,672.95,0.07
"6095","Voila",80104,30.64,993.17,0.03
"6096","Loblaws",51385,26.96,114.62,0.24
"6097","Loblaws",69642,24.55,440.19,0.06
"6098","Save-On-Foods",76742,19.84,573.81,0.03
"6099","Loblaws",93669,42.22,416.85,0.1
"6100","No Frills",7873,30.67,816.92,0.04
"6101","Galleria",28873,39.63,330.61,0.12
"6102","Walmart",28241,46.46,681.91,0.07
"6103","Metro",7248,28.31,851.93,0.03
"6104","No Frills",75757,35.13,244.02,0.14
"6105","T&T",26900,22.46,17.91,1.25
"6106","Walmart",15766,18.94,654.02,0.03
"6107","Walmart",28759,39.86,283.92,0.14
"6108","Walmart",62436,19.22,944.49,0.02
"6109","Galleria",7068,36.5,257.1,0.14
"6110","T&T",7616,45.97,451.77,0.1
"6111","Walmart",55593,12.41,343.09,0.04
"6112","Walmart",22480,25.33,715.29,0.04
"6113","Metro",45026,17.24,222.7,0.08
"6114","Galleria",707,32.83,989.62,0.03
"6115","Loblaws",88101,42.73,339.8,0.13
"6116","No Frills",37210,37.18,345.68,0.11
"6117","T&T",95432,9.37,825.96,0.01
"6118","Voila",91472,19.8,220.92,0.09
"6119","Save-On-Foods",99859,28.85,802.88,0.04
"6120","T&T",78190,15.32,634.36,0.02
"6121","Voila",36777,37.6,174.44,0.22
"6122","Save-On-Foods",87440,30.9,578.48,0.05
"6123","T&T",21490,4.57,194.82,0.02
"6124","Galleria",25714,43.35,103.57,0.42
"6125","Loblaws",24451,26.53,391.43,0.07
"6126","Save-On-Foods",11273,11.04,153.91,0.07
"6127","Loblaws",37051,35.36,296.69,0.12
"6128","Loblaws",20296,22.18,18.81,1.18
"6129","Walmart",10624,7.22,774.05,0.01
"6130","Walmart",29133,3.36,512.12,0.01
"6131","Metro",12067,9.81,295.35,0.03
"6132","Metro",22527,6.2,855.06,0.01
"6133","Loblaws",16457,11.97,170.26,0.07
"6134","No Frills",77937,11.76,352.69,0.03
"6135","Loblaws",85506,43.06,630.16,0.07
"6136","Galleria",46788,18.34,858.76,0.02
"6137","Galleria",14139,41.17,353.72,0.12
"6138","Loblaws",71061,20.97,208.62,0.1
"6139","Loblaws",18477,24.21,784.01,0.03
"6140","Loblaws",25533,34.48,283.84,0.12
"6141","No Frills",69958,15.46,987.8,0.02
"6142","No Frills",76845,12.03,503.14,0.02
"6143","Voila",33874,18.92,581.37,0.03
"6144","No Frills",29541,14.26,790.96,0.02
"6145","Loblaws",14774,29.71,883.38,0.03
"6146","No Frills",1347,42.22,923.87,0.05
"6147","T&T",52211,29.81,451.18,0.07
"6148","T&T",45779,43.15,869.29,0.05
"6149","No Frills",57273,3.78,577.13,0.01
"6150","Walmart",59502,23.57,773.97,0.03
"6151","Walmart",40343,44.92,718.45,0.06
"6152","T&T",1102,17.08,102.82,0.17
"6153","Walmart",78734,4.35,118.6,0.04
"6154","Metro",15262,38.12,747.52,0.05
"6155","No Frills",74237,23.16,54.96,0.42
"6156","Voila",23689,45.53,767.48,0.06
"6157","Loblaws",14747,34.86,286.05,0.12
"6158","Save-On-Foods",61996,9.37,19.4,0.48
"6159","Metro",37799,27.36,327.82,0.08
"6160","Metro",3112,3.16,287.23,0.01
"6161","No Frills",61943,4.35,932.61,0
"6162","Voila",41432,38.09,114.27,0.33
"6163","Galleria",68787,26.31,258.23,0.1
"6164","Save-On-Foods",52974,34.2,629.65,0.05
"6165","Save-On-Foods",28053,44.23,431.59,0.1
"6166","Metro",426,27.2,711.58,0.04
"6167","Voila",76375,32.12,125.23,0.26
"6168","Walmart",58655,9.07,702.42,0.01
"6169","No Frills",43218,9.8,204.89,0.05
"6170","Metro",45077,45.1,46.64,0.97
"6171","Galleria",86356,41.1,868.9,0.05
"6172","T&T",35444,29.13,953.49,0.03
"6173","T&T",2705,13.75,870.47,0.02
"6174","Loblaws",84701,14.22,542.67,0.03
"6175","Voila",30601,36.55,199.59,0.18
"6176","Metro",4621,27.9,948.14,0.03
"6177","Galleria",97600,13.85,359.78,0.04
"6178","Loblaws",53232,42.98,293.7,0.15
"6179","No Frills",32698,16.69,492.88,0.03
"6180","Galleria",88902,31.49,380.58,0.08
"6181","Save-On-Foods",17861,9.61,741.44,0.01
"6182","No Frills",61077,24.13,106.95,0.23
"6183","Save-On-Foods",35902,1.01,23.39,0.04
"6184","Loblaws",49857,6.36,593.82,0.01
"6185","No Frills",79598,25.94,415.56,0.06
"6186","Walmart",95612,30.54,671.69,0.05
"6187","No Frills",86417,36.55,890.45,0.04
"6188","Loblaws",95433,34.4,912.74,0.04
"6189","T&T",30648,0.11,903.8,0
"6190","Walmart",48350,19.85,854.51,0.02
"6191","Loblaws",33930,13.59,838.88,0.02
"6192","Metro",66884,38.34,692.22,0.06
"6193","Walmart",72379,19.5,126.41,0.15
"6194","Voila",70724,28.11,812.31,0.03
"6195","No Frills",33990,46.73,343.36,0.14
"6196","Galleria",94060,37.37,647.1,0.06
"6197","Galleria",19565,30.73,235.67,0.13
"6198","Metro",49782,40.91,734.94,0.06
"6199","Voila",92022,33.04,763.07,0.04
"6200","No Frills",82413,4.99,628.99,0.01
"6201","Save-On-Foods",39124,4,31.64,0.13
"6202","Galleria",87371,44.02,311.25,0.14
"6203","Loblaws",22869,28.43,712.36,0.04
"6204","Loblaws",21257,49.97,819.15,0.06
